author,text,tags
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile"
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"humor,religion"
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,humor
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate,food,humor"
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,humor
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor,open-mind,thinking"
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","humor,philosophy"
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor,insanity,lies,lying,self-indulgence,truth"
